poison plate,row.names,Estimate,Std..Error,Lower,Upper,level
1,AR_262.S.1.6.A:50,0.20156791,0.02190114,0.15859664,0.24453918,0.95
2,AR127_S.2.3.A:50,0.71241336,0.120453871,0.476076089,0.94875064,0.95
3,ARS_284.S1.4.A:50,0.19122483,0.023561134,0.14499656,0.2374531,0.95
4,C-MNSO2_2-31:50,11.17160419,35.688339,-58.8509256,81.19413399,0.95
5,C-NDSO2_1-11:50,0.10040311,0.013038693,0.074820462,0.12598576,0.95
6,IASO_10_38.14rt:50,1.73685041,0.170040666,1.403221054,2.07047977,0.95
7,IASO_10-39.16rt:50,1.75966862,0.334000177,1.104341478,2.41499577,0.95
8,IASO_10.37.8:50,0.93213263,0.113542045,0.70935675,1.15490851,0.95
9,IASO_6-10.15h:50,1.08254635,0.095803277,0.894574924,1.27051777,0.95
10,ILSO_1-31:50,1.07347041,0.186243718,0.708049754,1.43889107,0.95
11,ILSO_3-48c:50,0.9496247,0.212690002,0.532314949,1.36693446,0.95
12,ILSO_5-42c:50,1.53880555,0.201522751,1.143406566,1.93420452,0.95
13,ILSO_6-15c:50,37.24950616,NaN,NaN,NaN,0.95
14,ILSO_6-2b:50,0.98403996,0.079604805,0.82785085,1.14022907,0.95
15,INSO_1-10c:50,0.10814309,0.025293667,0.058515494,0.15777069,0.95
16,INSO_1-8A:50,1.52838284,0.140189679,1.253322794,1.80344288,0.95
17,KSSO_6-1:50,1.64675465,0.171873218,1.309529727,1.98397958,0.95
18,KSSO_6-47:50,0.03209247,0.009384461,0.01367963,0.05050531,0.95
19,MISO_1-4:50,0.6047453,0.041594347,0.523134849,0.68635575,0.95
20,MISO_5-19h:50,1.19072836,0.120776492,0.953758082,1.42769863,0.95
21,MISO_8-10:50,1.34920988,0.11472108,1.124120668,1.5742991,0.95
22,MISO_8-29.1:50,4.20950424,NaN,NaN,NaN,0.95
23,NDSO_1-42:50,0.50599667,0.051045237,0.405843042,0.6061503,0.95
24,NDSO_L-8-6:50,1.80161598,9.94798952,-17.71689937,21.32013133,0.95
25,NESO_2-13:50,0.30622779,0.037961074,0.231746027,0.38070955,0.95
26,NESO_4-29:50,0.1200877,0.013153072,0.094280636,0.14589477,0.95
27,V-KSSO2_1-7:50,0.01596815,0.004673693,0.006798106,0.0251382,0.95
28,V-KSSO2_3-6:50,0.0302482,0.010660701,0.009331303,0.05116509,0.95
29,V-MISO2_2-57:50,0.07347248,0.012953944,0.048056109,0.09888884,0.95
30,WISO_4-13:50,1.74039087,0.159531736,1.427380625,2.05340112,0.95
